DortyLogs Has started working, logs made at   Wed Sep 22 22:11:14 2021
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (11, 2 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (4, 10 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (14, 4 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (3, 3 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (7, 14 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (5, 5 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (1, 12 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (1, 11 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (10, 2 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (12, 6 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (6, 9 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (2, 3 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (7, 7 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (6, 11 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (8, 5 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (2, 6 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (11, 3 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (9, 7 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (2, 4 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (10, 9 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (8, 6 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (2, 3 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (3, 14 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (6, 1 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (8, 13 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (2, 14 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (7, 12 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (12, 4 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (8, 6 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (4, 13 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (1, 5 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (5, 12 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (3, 1 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (10, 2 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (4, 13 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (11, 0 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (5, 9 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (10, 5 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (6, 6 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (3, 8 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (9, 8 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (9, 4 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (6, 5 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (1, 11 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (11, 13 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (9, 9 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (11, 13 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (2, 13 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (8, 12 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (9, 11 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (3, 5 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (4, 3 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (9, 0 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (12, 11 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (8, 6 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (11, 5 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (14, 7 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (0, 9 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (2, 3 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (12, 12 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (1, 0 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (11, 6 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (5, 2 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (0, 4 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (11, 7 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (5, 10 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (6, 4 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (1, 10 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (12, 11 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (7, 12 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (7, 2 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (3, 3 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (5, 14 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (4, 8 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (11, 3 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (2, 1 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (11, 10 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (3, 8 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (0, 11 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (12, 5 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (10, 14 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (9, 2 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (8, 3 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (10, 6 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (2, 5 )
